Name,ID,typ,Cplx,CANidTX,CANidRX,a_pl,alpha_pl,p_pl,n_pl,delta_pl,a_dl,alpha_dl,p_dl,n_dl,delta_dl,jt,delta_j,Ujl,Ljl,m_pl,I_pl_xx,I_pl_xy,I_pl_xz,I_pl_yx,I_pl_yy,I_pl_yz,I_pl_zx,I_pl_zy,I_pl_zz,r_com_pl_x,r_com_pl_y,r_com_pl_z,m_dl,I_dl_xx,I_dl_xy,I_dl_xz,I_dl_yx,I_dl_yy,I_dl_yz,I_dl_zx,I_dl_zy,I_dl_zz,r_com_dl_x,r_com_dl_y,r_com_dl_z,Im,jbc,jbv,k_tau,k_r,tau_lim,curr_lim,dq_lim,ddq_lim,InputConnectorSize,OutputConnectorSize,encRes,currFactor
L_360_400_LL,43,2,1,0,0,0.4,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.61566906,0.0057238,-2.41E-06,-0.01438049,-2.41E-06,0.09865532,-8.2E-07,-0.01438049,-8.2E-07,0.09583994,0.19995997,5.17E-06,0.04443478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
L_360_400_LS,44,2,1,0,0,0.4,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.5916602,0.00553703,-2.48E-06,-0.01413661,-2.48E-06,0.09369026,-8.2E-07,-0.01413661,-8.2E-07,0.09071178,0.19612783,5.31E-06,0.0447784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
L_360_400_SS,45,2,1,0,0,0.4,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.5676562,0.00534415,-2.47E-06,-0.01417256,-2.47E-06,0.09359725,-8.2E-07,-0.01417256,-8.2E-07,0.09046184,0.19995758,5.46E-06,0.04509536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
L_360_250_LL,46,2,1,0,0,0.25,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.61566906,0.0057238,-2.41E-06,-0.01438049,-2.41E-06,0.09865532,-8.2E-07,-0.01438049,-8.2E-07,0.09583994,0.12595997,5.17E-06,0.04443478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
L_360_250_LS,47,2,1,0,0,0.25,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.5916602,0.00553703,-2.48E-06,-0.01413661,-2.48E-06,0.09369026,-8.2E-07,-0.01413661,-8.2E-07,0.09071178,0.12595997,5.31E-06,0.0447784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
L_360_250_SS,48,2,1,0,0,0.25,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.5676562,0.00534415,-2.47E-06,-0.01417256,-2.47E-06,0.09359725,-8.2E-07,-0.01417256,-8.2E-07,0.09046184,0.12595997,5.46E-06,0.04509536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
L_360_compact_LL,49,2,1,0,0,0.117,3.141592654,0,0,1.570796327,0,0,0,0,-1.570796327,0,0,0,0,0.68000833,0.00230747,5E-08,-0.00156091,5E-08,0.00584987,0,-0.00156091,0,0.0056393,0.06086061,0,0.03638426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
L_360_compact_LS,50,2,1,0,0,0.105,3.141592654,0,0,1.570796327,0,0,0,0,-1.570796327,0,0,0,0,0.57009144,0.00176614,3E-08,-0.0011492,3E-08,0.00405972,0,-0.0011492,0,0.00369502,0.05163247,0,0.03650331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
L_360_compact_SS,51,2,1,0,0,0.093,3.141592654,0,0,1.570796327,0,0,0,0,-1.570796327,0,0,0,0,0.47356632,0.00132072,3E-08,-0.00088073,3E-08,0.00300945,0,-0.00088073,0,0.00254139,0.04842422,0,0.03666343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
L_wrist_1,52,2,1,0,0,0.12735,1.570796327,0.054,-0.05935,0,0,0,0,0,0,0,0,0,0,0.70635824,0.00615694,-0.00504601,0.00041448,-0.00504601,0.00801288,0.00015027,0.00041448,0.00015027,0.01111023,0.07727724,0.06563371,0.00995462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
