Name,ID,typ,Cplx,CANidTX,CANidRX,a_pl,alpha_pl,p_pl,n_pl,delta_pl,a_dl,alpha_dl,p_dl,n_dl,delta_dl,jt,delta_j,Ujl,Ljl,m_pl,I_pl_xx,I_pl_xy,I_pl_xz,I_pl_yx,I_pl_yy,I_pl_yz,I_pl_zx,I_pl_zy,I_pl_zz,r_com_pl_x,r_com_pl_y,r_com_pl_z,m_dl,I_dl_xx,I_dl_xy,I_dl_xz,I_dl_yx,I_dl_yy,I_dl_yz,I_dl_zx,I_dl_zy,I_dl_zz,r_com_dl_x,r_com_dl_y,r_com_dl_z,Im,jbc,jbv,k_tau,k_r,tau_lim,curr_lim,dq_lim,ddq_lim,InputConnectorSize,OutputConnectorSize,encRes,currFactor,collision_size_x,collision_size_y,collision_size_z,collision_pos_x,collision_pos_y,collision_pos_z
L_90L_250_LL,22,2,1,0,0,0,1.570796327,-0.25,-0.065,0,0,0,0,0,1.570796327,0,0,0,0,1.20004191,0.03873495,-1.44e-06,-1.3e-06,-1.44e-06,0.0287113,-0.01525993,-1.3e-06,-0.01525993,0.01236913,8.5e-06,0.08266289,0.12724404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.305999826639891,0.111991547048092,0.211999997496605,-0.0970001760870218,0,0.0150000005960464
L_90L_250_LS,23,2,1,0,0,0,1.570796327,-0.25,-0.065,0,0,0,0,0,1.570796327,0,0,0,0,1.17834309,0.03656382,-1.43e-06,-1.28e-06,-1.43e-06,0.02649171,-0.01471847,-1.28e-06,-0.01471847,0.01207472,8.57e-06,0.08273926,0.12393455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.293997842818499,0.111946776509285,0.211999997496605,-0.103001167997718,0,0.0150000005960464
L_90L_250_SS,24,2,1,0,0,0,1.570796327,-0.25,-0.065,0,0,0,0,0,1.570796327,0,0,0,0,1.11991996,0.03619799,-1.44e-06,-1.28e-06,-1.44e-06,0.02612819,-0.01462026,-1.28e-06,-0.01462026,0.01163924,8.92e-06,0.08617738,0.12819444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.293997842818499,0.0879999995231628,0.19999972730875,-0.103001167997718,0,0.00899986550211906
L_90L_compact_LL,25,2,1,0,0,0.114,-1.570796327,-0.047,0.047,0,0,0,0,0,-1.570796327,0,0,0,0,0.57851739,0.00206324,-0.00034007,-0.00159562,-0.00034007,0.00567603,-0.00013363,-0.00159562,-0.00013363,0.00478261,0.06001076,0.00526783,0.03968835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.114000000059605,0.227998036891222,0.11400000192225,0,-0.0569990184158087,-0.0470000011846423
L_90L_compact_LS,26,2,1,0,0,0.101,-1.570796327,-0.047,0.047,0,0,0,0,0,-1.570796327,0,0,0,0,0.49978203,0.00158289,-0.00019851,-0.00104466,-0.00019851,0.00358538,-9.18e-05,-0.00104466,-9.18e-05,0.00306808,0.04710252,0.00439425,0.03788641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.090999998152256,0.20194560661912,0.11400000192225,-0.00149999931454659,-0.0569758396595716,-0.0470000011846423
L_90L_compact_SS,27,2,1,0,0,0.088,-1.570796327,-0.047,0.047,0,0,0,0,0,-1.570796327,0,0,0,0,0.42721733,0.00125908,-0.00016834,-0.00086879,-0.00016834,0.00276316,-9.07e-05,-0.00086879,-9.07e-05,0.00215127,0.04636373,0.00506804,0.03868014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.090999998152256,0.175940334796906,0.090999998152256,-0.00149999931454659,-0.0440118908882141,-0.045499999076128
L_90S_600_LL,28,2,1,0,0,0,1.570796327,0.065,0.6,0,0,0,0,0,0,0,0,0,0,2.3804649,0.31648074,4.34e-06,-7.7e-07,4.34e-06,0.00881998,0.01525645,-7.7e-07,0.01525645,0.31168146,4.29e-06,-0.30637678,0.0317608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.111984089016914,0.208878107368946,0.656000118119813,0,0.048560943454504,-0.327999959059905
L_90S_600_LS,29,2,1,0,0,0,1.570796327,0.065,0.6,0,0,0,0,0,0,0,0,0,0,2.312205,0.29515663,4.28e-06,-7.9e-07,4.28e-06,0.00821659,0.0171379,-7.9e-07,0.0171379,0.29050563,4.37e-06,-0.29908866,0.03412083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.111957978457212,0.196999996900558,0.656000118119813,5.60097396373749e-06,0.0544999986886978,-0.327999959059905
L_90S_600_SS,30,2,1,0,0,0,1.570796327,0.065,0.6,0,0,0,0,0,0,0,0,0,0,2.2875156,0.29506063,4.27e-06,-7.9e-07,4.27e-06,0.00802403,0.01717051,-7.9e-07,0.01717051,0.29025548,4.37e-06,-0.30284676,0.03422947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0879531688988209,0.196999996900558,0.643999318940736,1.23400241136551e-05,0.0544999986886978,-0.321999559470367
L_90S_400_LL,31,2,1,0,0,0,1.570796327,0.065,0.4,0,0,0,0,0,0,0,0,0,0,1.7089495,0.10368871,2.4e-06,-7.7e-07,2.4e-06,0.00638808,0.00409596,-7.7e-07,0.00409596,0.1003728,5.97e-06,-0.20305401,0.0257727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.111984089016914,0.208878107368946,0.45600010023842,0,0.048560943454504,-0.227999950119209
L_90S_400_LS,32,2,1,0,0,0,1.570796327,0.065,0.4,0,0,0,0,0,0,0,0,0,0,1.6406895,0.09474015,2.35e-06,-7.9e-07,2.35e-06,0.0057847,0.00531963,-7.9e-07,0.00531963,0.09157253,6.15e-06,-0.19680514,0.02884953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.111957978457212,0.196999996900558,0.45600010023842,5.60097396373749e-06,0.0544999986886978,-0.227999950119209
L_90S_400_SS,33,2,1,0,0,0,1.570796327,0.065,0.4,0,0,0,0,0,0,0,0,0,0,1.6160001,0.09464415,2.34e-06,-7.9e-07,2.34e-06,0.00559213,0.00535224,-7.9e-07,0.00535224,0.09132238,6.18e-06,-0.2005622,0.02892278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0879531688988209,0.196999996900558,0.443999360663987,1.23400241136551e-05,0.0544999986886978,-0.221999580331993
