Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
28	-95.2	17.315504	-9.0	-100.0	0.0	0.1	0.0	-73.0	0.0	-73.0	-73.0	94.2	73.0	99	-5.60799	4.361805	-0.085927226	-18.99937	-5.607881	4.359853	-0.111692905	-18.80193	-3.468542	1.0695763	1.6338434	-10.313606	4.9057713	0.6400776	21885.556440114975
29	-98.76667	6.6417036	-63.0	-100.0	0.0	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	97.76667	100.0	99	-5.6248417	4.356229	-0.06730592	-19.044199	-5.6249266	4.352316	-0.134316	-19.22437	-3.4764342	1.0641088	1.7986197	-10.381645	4.931639	0.66183466	22663.963326215744
30	-98.26667	7.1876435	-62.0	-100.0	0.0	0.06666667	0.0	-72.0	0.0	-72.0	-72.0	97.26667	72.0	99	-5.6753197	4.343144	-0.08447539	-19.593575	-5.676106	4.3396287	-0.13408054	-19.394867	-3.4792256	1.0623587	1.8011513	-10.982717	4.987251	0.69361675	23433.420752048492
31	-96.96667	16.335001	-9.0	-100.0	0.0	0.033333335	0.0	-71.0	0.0	-71.0	-71.0	95.96667	71.0	99	-5.7493577	4.3242173	-0.1261473	-19.590809	-5.749232	4.32008	-0.115395315	-19.334019	-3.4701636	1.0654839	1.9264541	-11.182293	5.0710955	0.715924	24190.534074783325
32	-98.76667	6.28057	-65.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	97.76667	100.0	99	-5.8138323	4.2856584	-0.090621494	-19.069632	-5.8137684	4.2797003	-0.12742071	-19.016457	-3.4872859	1.0637456	2.2409067	-11.0418415	5.1499233	0.7706823	25043.336808681488
33	-98.4	5.9922175	-75.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	97.4	100.0	76	-5.8962946	4.273256	-0.09625275	-19.169224	-5.896262	4.2650194	-0.1175901	-19.495712	-3.489711	1.0608382	1.9014196	-10.465509	5.247486	0.82562876	25949.26507115364
34	-95.36667	18.40015	-1.0	-100.0	0.0	0.1	0.0	-100.0	0.0	-100.0	-100.0	94.36667	100.0	99	-6.006292	4.2245584	-0.074701026	-19.300049	-6.006235	4.214094	-0.13814732	-19.048239	-3.4828877	1.065778	1.6196556	-9.842657	5.3698335	0.86454713	26841.91695666313
35	-93.066666	23.988792	-1.0	-100.0	0.0	0.1	0.0	-96.0	0.0	-96.0	-96.0	92.066666	96.0	99	-6.123747	4.2042675	-0.07654234	-19.67113	-6.123479	4.192488	-0.14303048	-19.52346	-3.492367	1.0551559	2.514112	-11.72292	5.506896	0.93836284	27712.251039028168
36	-98.53333	5.542162	-75.0	-100.0	0.0	0.06666667	0.0	-51.0	0.0	-51.0	-51.0	97.53333	51.0	99	-6.312304	4.191798	-0.06927797	-19.024446	-6.3125234	4.18153	-0.13562493	-19.036142	-3.50809	1.0427469	1.513422	-10.841503	5.713998	0.96211874	28554.914456129074
37	-99.4	2.5897233	-86.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	98.4	100.0	99	-6.515754	4.1930156	-0.057811636	-19.036549	-6.51539	4.187093	-0.10366433	-18.9721	-3.5161166	1.0354242	1.5786543	-10.511105	5.9347177	0.9965812	29460.183917045593
38	-96.0	16.6993	-9.0	-100.0	0.0	0.1	0.0	-100.0	0.0	-100.0	-100.0	95.0	100.0	99	-6.8108006	4.2404423	-0.06232584	-19.142445	-6.8107104	4.237884	-0.09672802	-19.561773	-3.547004	1.0184177	1.6702242	-10.677526	6.24809	1.0869082	30332.10130381584
39	-89.86667	27.747349	-7.0	-100.0	0.0	0.13333334	0.0	-100.0	0.0	-100.0	-100.0	88.86667	100.0	99	-7.075816	4.3291926	-0.04328821	-18.722254	-7.0757446	4.326611	-0.073711164	-18.894522	-3.5443254	1.0136825	1.9009581	-10.112738	6.522373	1.1633594	31047.01650071144
40	-97.13333	8.601292	-71.0	-100.0	0.0	0.1	0.0	-100.0	0.0	-100.0	-100.0	96.13333	100.0	70	-7.3173175	4.427766	-0.033121526	-19.243263	-7.317409	4.425241	-0.09039141	-19.04002	-3.5182877	1.0247372	1.7023926	-11.5226965	6.767	1.2660413	31814.783886432648
41	-95.86667	16.909039	-9.0	-100.0	0.0	0.1	0.0	-100.0	0.0	-100.0	-100.0	94.86667	100.0	8	-7.3470054	4.5531583	-0.030794404	-20.103731	-7.3467636	4.5507984	-0.092644505	-19.567806	-3.3563228	1.149373	1.6832047	-10.411852	6.751078	1.17151	32574.010772943497
42	-89.566666	28.053143	-7.0	-100.0	0.0	0.13333334	0.0	-100.0	0.0	-100.0	-100.0	88.566666	100.0	63	-7.1865983	4.7295275	-0.0007311441	-19.455376	-7.186879	4.727616	-0.05259511	-19.65999	-3.258149	1.228747	2.6385336	-11.468614	6.5459948	0.9603015	33287.450634241104
43	-99.6	2.154066	-88.0	-100.0	0.0	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	98.6	100.0	99	-6.969077	4.8561206	-0.028728008	-19.860378	-6.969101	4.8546176	-0.025443893	-19.862976	-3.2462792	1.2306191	3.1749687	-11.418164	6.3143587	0.83095205	34072.63962030411
44	-91.4	24.732706	-1.0	-100.0	0.033333335	0.1	0.033333335	-61.0	0.0	-61.0	-61.0	90.433334	61.0	99	-6.880983	4.911779	-0.023718871	-20.306322	-6.881014	4.9098163	-0.05024037	-20.730503	-3.2831883	1.2058783	2.401595	-11.120256	6.232415	0.79588145	34792.53877854347
45	-91.5	19.36965	-8.0	-100.0	0.0	0.23333333	0.0	-100.0	0.0	-100.0	-100.0	90.5	100.0	99	-6.8655014	4.944902	-0.029206034	-20.877764	-6.8658	4.9432564	-0.047284674	-20.65841	-3.32597	1.1838502	2.8220587	-13.44815	6.2228603	0.784146	35523.74857187271
46	-97.433334	10.065398	-48.0	-100.0	0.0	0.1	0.0	-82.0	0.0	-82.0	-82.0	96.433334	82.0	99	-6.8588133	4.949442	0.00793286	-20.81327	-6.8589306	4.9488196	-0.011475682	-20.882484	-3.3409314	1.1594465	2.8373895	-10.502141	6.227176	0.81034344	36287.751749277115
47	-99.666664	1.795055	-90.0	-100.0	0.0	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	98.666664	100.0	99	-6.952663	4.953135	-0.02054301	-20.994976	-6.952836	4.952443	-0.019479785	-20.77421	-3.3706262	1.1485231	2.3996334	-11.162242	6.334982	0.8109573	37076.43958878517
48	-97.433334	9.236462	-53.0	-100.0	0.0	0.1	0.0	-100.0	0.0	-100.0	-100.0	96.433334	100.0	99	-7.025144	4.956008	-0.0095786825	-20.787643	-7.025023	4.955695	-0.008882828	-20.916107	-3.376265	1.137918	2.2347255	-11.496661	6.421218	0.8570564	37846.296823978424
49	-95.8	17.520273	-7.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	94.8	100.0	99	-7.0878224	4.9557652	-0.0016694665	-21.319326	-7.0881534	4.954264	0.005882103	-21.202587	-3.3747976	1.1421397	1.9454098	-10.79014	6.479465	0.8669442	38603.873455286026
50	-98.566666	5.48746	-74.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	97.566666	100.0	99	-7.105418	4.9614334	-0.0034882873	-21.03052	-7.1056657	4.959576	0.0057848617	-21.282036	-3.337889	1.1779767	2.2363653	-10.079828	6.4927278	0.8750553	39382.616946697235
