Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
28	-81.36667	31.778906	-10.0	-100.0	0.0	0.26666668	0.26666668	-66.0	0.0	-66.0	-66.0	80.36667	66.0	99	-7.7052016	5.639199	-0.13026243	-19.096914	-7.7055793	5.6384974	-0.16775778	-19.440691	-3.2844374	1.238009	2.0157833	-11.445471	7.0546403	0.5597279	16034.407574653625
29	-66.8	38.17713	-7.0	-100.0	0.033333335	0.43333334	0.4	-100.0	0.0	-100.0	-100.0	65.833336	100.0	15	-7.5895343	5.696932	-0.13561848	-19.328217	-7.589684	5.6959934	-0.15702195	-19.40022	-3.2542026	1.2576492	1.3912268	-12.245334	6.9323306	0.53149337	16583.491945266724
30	-78.46667	32.36843	-9.0	-100.0	0.1	0.26666668	0.23333333	-100.0	0.0	-100.0	-100.0	77.566666	100.0	69	-7.454144	5.724601	-0.12583385	-19.418013	-7.4543505	5.724193	-0.163276	-19.632715	-3.2611666	1.2485728	2.1906996	-10.86597	6.7931614	0.5095577	17219.172877073288
31	-87.3	29.837502	-8.0	-100.0	0.0	0.16666667	0.16666667	-32.0	0.0	-32.0	-32.0	86.3	32.0	99	-7.3252115	5.729435	-0.12209503	-19.957268	-7.3253174	5.7290077	-0.14387274	-19.887535	-3.2935188	1.2207943	1.4484739	-10.506536	6.676286	0.517498	17899.09844493866
32	-91.166664	23.184883	-15.0	-100.0	0.06666667	0.1	0.1	-100.0	0.0	-100.0	-100.0	90.23333	100.0	14	-7.2727284	5.7398295	-0.12013701	-19.8733	-7.2729754	5.739737	-0.14401951	-20.275566	-3.3111842	1.2063565	1.2857771	-11.175051	6.6290903	0.4952684	18622.389260292053
33	-85.96667	31.064966	-9.0	-100.0	0.0	0.2	0.16666667	-100.0	0.0	-100.0	-100.0	84.96667	100.0	16	-7.2221036	5.7241235	-0.1110563	-20.060308	-7.2221694	5.723653	-0.14923057	-20.083029	-3.3084023	1.2011491	1.3326712	-10.258463	6.578158	0.49884388	19308.427708864212
34	-72.63333	35.399136	-9.0	-100.0	0.16666667	0.3	0.26666668	-100.0	0.0	-100.0	-100.0	71.8	100.0	99	-7.1828127	5.7332015	-0.10720726	-20.35523	-7.1828265	5.732952	-0.15966085	-20.457176	-3.313271	1.2054162	1.4223509	-12.630518	6.539644	0.4941419	19917.444853782654
35	-79.96667	32.03486	-9.0	-100.0	0.033333335	0.26666668	0.16666667	-100.0	0.0	-100.0	-100.0	79.0	100.0	99	-7.1077538	5.710697	-0.10050136	-20.572996	-7.107705	5.7102313	-0.1532774	-20.495104	-3.3092284	1.1978154	1.9393501	-11.89603	6.4689045	0.49331656	20563.098457098007
36	-77.4	33.749664	-9.0	-100.0	0.033333335	0.3	0.2	-100.0	0.0	-100.0	-100.0	76.433334	100.0	33	-7.0754957	5.728205	-0.09996326	-20.946436	-7.0755053	5.7275543	-0.15383914	-20.839228	-3.3100407	1.2025588	1.1654701	-10.567376	6.439424	0.4962294	21193.11466360092
37	-81.86667	28.82445	-7.0	-100.0	0.13333334	0.23333333	0.16666667	-100.0	0.0	-100.0	-100.0	81.0	100.0	83	-7.039979	5.708373	-0.09315592	-20.71885	-7.040168	5.7076654	-0.14192796	-20.740347	-3.3074045	1.1990708	1.3341236	-10.632005	6.4053564	0.50478745	21857.243161916733
