Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
33	-25.833334	33.455524	-7.0	-100.0	0.0	0.8333333	0.8333333	-5.0	0.0	-5.0	-5.0	24.833334	5.0	16	-4.5783544	3.8423326	-0.13745344	-15.93103	-4.57838	3.8418005	-0.12852632	-16.03963	-3.6014204	0.94153285	7.646022	-10.246082	3.8872826	0.62430114	7734.851514339447
34	-19.666666	22.736658	-6.0	-100.0	0.0	0.93333334	0.8	-7.0	0.0	-7.0	-7.0	18.666666	7.0	31	-4.682696	3.8805313	-0.12530029	-16.048687	-4.682439	3.8795004	-0.12819067	-16.088163	-3.60437	0.9327907	8.5950985	-10.891865	4.007294	0.6532735	7933.152257680893
35	-19.1	22.31793	-7.0	-100.0	0.0	0.93333334	0.8666667	-12.0	0.0	-12.0	-12.0	18.1	12.0	7	-4.7784467	3.93801	-0.1207918	-16.350338	-4.778432	3.9368796	-0.11295444	-16.45557	-3.605553	0.9336649	2.7710867	-11.651973	4.109472	0.689406	8129.103530168533
36	-16.666666	11.172387	-8.0	-64.0	0.0	1.0	0.9	-7.0	0.0	-7.0	-7.0	15.666667	7.0	8	-4.8991623	4.0178523	-0.11275452	-16.170595	-4.899431	4.016621	-0.10047743	-16.251482	-3.5910761	0.95124817	4.5992203	-10.809378	4.2337008	0.7090819	8306.395548343658
37	-13.7	16.707582	-5.0	-100.0	0.0	0.96666664	0.9	-88.0	0.0	-88.0	-88.0	12.7	88.0	11	-4.964779	4.130161	-0.09134892	-16.360645	-4.9642406	4.1289496	-0.10013108	-16.26407	-3.571763	0.9871291	6.4604015	-12.716161	4.2989373	0.69888777	8480.67892074585
38	-14.6	6.216108	-6.0	-27.0	0.0	1.0	0.93333334	-6.0	0.0	-6.0	-6.0	13.6	6.0	8	-5.033223	4.249813	-0.08903207	-16.410856	-5.033552	4.2494526	-0.09809302	-16.538002	-3.5559583	1.0052392	4.0703235	-10.400322	4.3634906	0.7017965	8641.128672599792
39	-21.4	21.946299	-6.0	-100.0	0.0	0.93333334	0.93333334	-7.0	0.0	-7.0	-7.0	20.4	7.0	7	-5.0564938	4.363693	-0.116332054	-16.912054	-5.056473	4.3619	-0.09410634	-16.809938	-3.5205095	1.0307611	3.7683287	-10.359419	4.3779697	0.66749245	8849.613766670227
40	-17.1	7.4177713	-7.0	-30.0	0.0	1.0	0.93333334	-5.0	0.0	-5.0	-5.0	16.1	5.0	8	-5.05139	4.457545	-0.12606955	-17.437717	-5.0512376	4.4570537	-0.11336898	-17.110565	-3.4945545	1.0578634	7.632725	-10.860053	4.361347	0.6230099	9028.15437245369
41	-17.333334	17.203358	-6.0	-100.0	0.0	0.96666664	0.8666667	-6.0	0.0	-6.0	-6.0	16.333334	6.0	16	-5.0188613	4.5200567	-0.1077221	-17.589088	-5.018997	4.518829	-0.0873978	-17.29528	-3.486442	1.0606352	2.3757753	-12.140477	4.3254457	0.5657677	9208.497178554535
42	-15.533334	8.114733	-7.0	-42.0	0.0	1.0	0.96666664	-6.0	0.0	-6.0	-6.0	14.533334	6.0	18	-4.975669	4.5463815	-0.08237022	-17.587168	-4.975697	4.5459266	-0.043445386	-17.53308	-3.4585686	1.0740554	8.190577	-10.600591	4.2720246	0.5147818	9377.03871011734
