Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
61	-85.76667	24.039804	-8.0	-100.0	0.2	0.13333334	0.0	-54.0	0.0	-54.0	-54.0	84.96667	54.0	74	-6.5919433	5.2150683	-0.06935081	-29.678175	-6.5919356	5.21508	-0.06290127	-29.476427	-3.3204684	1.1599617	0.9619951	-11.141924	5.9566097	0.4729954	45366.338114738464
62	-88.8	18.34557	-43.0	-100.0	0.23333333	0.1	0.0	-83.0	0.0	-83.0	-83.0	88.03333	84.0	99	-6.5872912	5.1962667	-0.05798931	-30.362474	-6.5871296	5.196378	-0.05137475	-29.57221	-3.3142347	1.1604959	0.81775665	-10.536787	5.9531155	0.47006094	46078.942278862
63	-85.13333	24.747705	-8.0	-100.0	0.3	0.13333334	0.0	-13.0	0.0	-13.0	-13.0	84.433334	13.0	99	-6.5895586	5.1977077	-0.050760664	-29.506094	-6.589451	5.1982265	-0.05086792	-29.95579	-3.2987452	1.1718553	0.8101845	-10.469578	5.951773	0.4698734	46748.972118616104
64	-95.666664	10.270778	-64.0	-100.0	0.23333333	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	94.9	100.0	95	-6.5783777	5.19425	-0.066689104	-29.071278	-6.5784335	5.194346	-0.054264367	-28.685509	-3.3021193	1.1732042	0.58668804	-10.854606	5.9460454	0.48271397	47511.183447122574
65	-87.13333	19.705723	-44.0	-100.0	0.23333333	0.1	0.0	-100.0	0.0	-100.0	-100.0	86.36667	100.0	99	-6.5829268	5.1903057	-0.054090884	-28.803932	-6.5827684	5.1908073	-0.04609085	-29.336018	-3.3028867	1.169749	0.58773136	-11.074502	5.9492545	0.47547525	48214.26058673859
66	-89.9	17.998795	-39.0	-100.0	0.3	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	89.2	100.0	55	-6.549552	5.1676946	-0.06004738	-29.025843	-6.5495915	5.1677003	-0.04629017	-29.301872	-3.2824714	1.1809595	1.319931	-11.199953	5.9135256	0.4744706	48937.448115348816
67	-94.36667	13.260174	-53.0	-100.0	0.1	0.1	0.0	-8.0	0.0	-8.0	-8.0	93.46667	8.0	78	-6.5380607	5.138487	-0.061036922	-30.013157	-6.53812	5.1386085	-0.04827889	-29.449987	-3.2846034	1.1854519	0.42644072	-12.793137	5.905128	0.4810146	49669.21221756935
68	-94.6	14.032345	-39.0	-100.0	0.1	0.13333334	0.0	-49.0	0.0	-49.0	-49.0	93.7	50.0	99	-6.562699	5.170455	-0.06267576	-28.831354	-6.562651	5.170615	-0.05429748	-28.681686	-3.2800984	1.1855363	0.61830044	-10.847768	5.929896	0.47705382	50415.65493988991
69	-92.166664	14.047737	-52.0	-100.0	0.3	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	91.46667	100.0	99	-6.572087	5.1667123	-0.060081527	-29.329178	-6.5721707	5.1668077	-0.05161481	-29.068312	-3.2756963	1.1864643	0.89150524	-12.312948	5.943664	0.49353626	51155.75429534912
70	-83.4	22.490885	-17.0	-100.0	0.36666667	0.06666667	0.0	-50.0	0.0	-50.0	-50.0	82.76667	51.0	99	-6.5322638	5.1211233	-0.069474496	-29.286098	-6.532254	5.1216903	-0.04804314	-28.717144	-3.285383	1.1796198	0.7522621	-11.081645	5.905957	0.4871711	51824.81334114075
71	-85.63333	17.883854	-49.0	-100.0	0.33333334	0.16666667	0.0	-100.0	0.0	-100.0	-100.0	84.96667	100.0	99	-6.489537	5.074049	-0.061528616	-29.672829	-6.4893208	5.074897	-0.044879537	-29.029087	-3.2638712	1.1951528	0.8716469	-10.182922	5.859726	0.48214662	52520.096302986145
72	-84.1	20.599918	-39.0	-100.0	0.56666666	0.0	0.0	-100.0	0.0	-100.0	-100.0	83.666664	100.0	91	-6.488805	5.0655866	-0.06224159	-28.870564	-6.488793	5.065999	-0.044039063	-28.696077	-3.2536	1.2071222	0.8022585	-10.689342	5.861737	0.48040485	53204.60326743126
73	-93.2	12.957366	-57.0	-100.0	0.23333333	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	92.433334	100.0	99	-6.503362	5.077863	-0.056343086	-28.797258	-6.5033636	5.0781393	-0.040672988	-28.564081	-3.2601416	1.1946323	0.8725147	-10.800222	5.8770027	0.48491943	53952.52885770798
74	-80.03333	27.205984	-9.0	-100.0	0.26666668	0.13333334	0.0	-28.0	0.0	-28.0	-28.0	79.3	29.0	46	-6.5349374	5.0891967	-0.05851204	-29.18472	-6.534953	5.0890617	-0.046490826	-28.931515	-3.258893	1.2006786	0.5395336	-11.908019	5.912824	0.4943225	54588.1633605957
75	-83.26667	22.294893	-27.0	-100.0	0.4	0.1	0.0	-100.0	0.0	-100.0	-100.0	82.666664	100.0	87	-6.511081	5.0722065	-0.050282877	-28.40908	-6.510969	5.0723963	-0.045003895	-28.529917	-3.2610393	1.1965905	0.8811493	-12.222483	5.887349	0.48569843	55265.80587935448
76	-88.23333	20.647327	-30.0	-100.0	0.23333333	0.06666667	0.0	-18.0	0.0	-18.0	-18.0	87.46667	19.0	99	-6.5101576	5.0502906	-0.052461293	-28.16354	-6.5101247	5.050521	-0.04398357	-28.002106	-3.2574115	1.1971629	0.72150326	-11.193363	5.8896327	0.49556687	55958.74674153328
77	-86.03333	20.796608	-28.0	-100.0	0.36666667	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	85.4	100.0	52	-6.518657	5.0640187	-0.051014185	-29.185213	-6.5189238	5.0639606	-0.04050883	-28.589478	-3.243026	1.202564	0.56274796	-12.02932	5.8999343	0.49969405	56655.20056772232
78	-85.666664	20.296686	-37.0	-100.0	0.3	0.13333334	0.0	-100.0	0.0	-100.0	-100.0	84.96667	100.0	99	-6.4890356	5.0242043	-0.051322073	-29.355843	-6.4885354	5.024642	-0.04655495	-29.1255	-3.2403924	1.204147	0.83815575	-11.625803	5.872795	0.50962955	57350.32992434502
79	-86.3	18.85939	-44.0	-100.0	0.36666667	0.1	0.0	-100.0	0.0	-100.0	-100.0	85.666664	100.0	55	-6.427876	4.9582796	-0.0564878	-29.19023	-6.42818	4.9583974	-0.045794442	-29.526535	-3.236642	1.2065208	1.784872	-12.15048	5.8150926	0.51553017	58050.208542108536
80	-89.066666	19.712828	-27.0	-100.0	0.3	0.033333335	0.0	-23.0	0.0	-23.0	-23.0	88.36667	24.0	99	-6.4540644	4.9840164	-0.039581984	-28.68288	-6.4538693	4.9840455	-0.04469511	-28.790045	-3.238152	1.2088894	0.99311066	-12.072136	5.840971	0.51025087	58751.31233263016
81	-78.76667	23.666689	-32.0	-100.0	0.33333334	0.26666668	0.033333335	-20.0	0.0	-20.0	-20.0	78.1	21.0	99	-6.437396	4.950459	-0.050099432	-29.999777	-6.4372888	4.9508247	-0.044941418	-29.43742	-3.2333694	1.2120636	0.7927246	-10.55397	5.8266253	0.5123688	59380.87668848038
